Using device: cuda
Dataset not found at data/symbolic_reasoning/train.pt. Generating now...
Generating train set (5000)...
Generating val set (1000)...
Generating test set (1000)...
Dataset generation complete.

Training Model with gamma = 0.0
Gamma 0.00 | Epoch 80 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 81 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 82 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 83 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 84 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 85 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 86 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 87 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 88 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 89 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 90 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 91 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 92 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 93 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 94 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 95 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 96 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 97 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 98 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 99 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.00 | Epoch 100 | Loss: 0.0000 | Acc: 100.0%

Training Model with gamma = 0.05
Gamma 0.05 | Epoch 01 | Loss: 0.9481 | Acc: 100.0%
Gamma 0.05 | Epoch 02 | Loss: 0.0885 | Acc: 100.0%
Gamma 0.05 | Epoch 03 | Loss: 0.0395 | Acc: 100.0%
Gamma 0.05 | Epoch 04 | Loss: 0.0229 | Acc: 100.0%
Gamma 0.05 | Epoch 05 | Loss: 0.0153 | Acc: 100.0%
Gamma 0.05 | Epoch 06 | Loss: 0.0110 | Acc: 100.0%
Gamma 0.05 | Epoch 07 | Loss: 0.0083 | Acc: 100.0%
Gamma 0.05 | Epoch 08 | Loss: 0.0066 | Acc: 100.0%
Gamma 0.05 | Epoch 09 | Loss: 0.0053 | Acc: 100.0%
Gamma 0.05 | Epoch 10 | Loss: 0.0044 | Acc: 100.0%
Gamma 0.05 | Epoch 11 | Loss: 0.0037 | Acc: 100.0%
Gamma 0.05 | Epoch 12 | Loss: 0.0031 | Acc: 100.0%
Gamma 0.05 | Epoch 13 | Loss: 0.0027 | Acc: 100.0%
Gamma 0.05 | Epoch 14 | Loss: 0.0024 | Acc: 100.0%
Gamma 0.05 | Epoch 15 | Loss: 0.0021 | Acc: 100.0%
Gamma 0.05 | Epoch 16 | Loss: 0.0018 | Acc: 100.0%
Gamma 0.05 | Epoch 17 | Loss: 0.0016 | Acc: 100.0%
Gamma 0.05 | Epoch 18 | Loss: 0.0015 | Acc: 100.0%
Gamma 0.05 | Epoch 19 | Loss: 0.0013 | Acc: 100.0%
Gamma 0.05 | Epoch 20 | Loss: 0.0012 | Acc: 100.0%
Gamma 0.05 | Epoch 21 | Loss: 0.0011 | Acc: 100.0%
Gamma 0.05 | Epoch 22 | Loss: 0.0010 | Acc: 100.0%
Gamma 0.05 | Epoch 23 | Loss: 0.0009 | Acc: 100.0%
Gamma 0.05 | Epoch 24 | Loss: 0.0008 | Acc: 100.0%
Gamma 0.05 | Epoch 25 | Loss: 0.0008 | Acc: 100.0%
Gamma 0.05 | Epoch 26 | Loss: 0.0007 | Acc: 100.0%
Gamma 0.05 | Epoch 27 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.05 | Epoch 28 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.05 | Epoch 29 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.05 | Epoch 30 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.05 | Epoch 31 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.05 | Epoch 32 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.05 | Epoch 33 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.05 | Epoch 34 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.05 | Epoch 35 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.05 | Epoch 36 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.05 | Epoch 37 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.05 | Epoch 38 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.05 | Epoch 39 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.05 | Epoch 40 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.05 | Epoch 41 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.05 | Epoch 42 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 43 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 44 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 45 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 46 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 47 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 48 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 49 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 50 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.05 | Epoch 51 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 52 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 53 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 54 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 55 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 56 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 57 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 58 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 59 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 60 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 61 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 62 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 63 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 64 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 65 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 66 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 67 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 68 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 69 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 70 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 71 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 72 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 73 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 74 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 75 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 76 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 77 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 78 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 79 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 80 | Loss: 0.0017 | Acc: 100.0%
Gamma 0.05 | Epoch 81 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 82 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 83 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 84 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.05 | Epoch 85 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 86 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 87 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 88 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 89 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 90 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 91 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 92 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 93 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 94 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 95 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 96 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 97 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 98 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 99 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.05 | Epoch 100 | Loss: 0.0000 | Acc: 100.0%

Training Model with gamma = 0.1
Gamma 0.10 | Epoch 01 | Loss: 0.9488 | Acc: 100.0%
Gamma 0.10 | Epoch 02 | Loss: 0.0886 | Acc: 100.0%
Gamma 0.10 | Epoch 03 | Loss: 0.0395 | Acc: 100.0%
Gamma 0.10 | Epoch 04 | Loss: 0.0230 | Acc: 100.0%
Gamma 0.10 | Epoch 05 | Loss: 0.0153 | Acc: 100.0%
Gamma 0.10 | Epoch 06 | Loss: 0.0110 | Acc: 100.0%
Gamma 0.10 | Epoch 07 | Loss: 0.0084 | Acc: 100.0%
Gamma 0.10 | Epoch 08 | Loss: 0.0066 | Acc: 100.0%
Gamma 0.10 | Epoch 09 | Loss: 0.0053 | Acc: 100.0%
Gamma 0.10 | Epoch 10 | Loss: 0.0044 | Acc: 100.0%
Gamma 0.10 | Epoch 11 | Loss: 0.0037 | Acc: 100.0%
Gamma 0.10 | Epoch 12 | Loss: 0.0031 | Acc: 100.0%
Gamma 0.10 | Epoch 13 | Loss: 0.0027 | Acc: 100.0%
Gamma 0.10 | Epoch 14 | Loss: 0.0024 | Acc: 100.0%
Gamma 0.10 | Epoch 15 | Loss: 0.0021 | Acc: 100.0%
Gamma 0.10 | Epoch 16 | Loss: 0.0018 | Acc: 100.0%
Gamma 0.10 | Epoch 17 | Loss: 0.0016 | Acc: 100.0%
Gamma 0.10 | Epoch 18 | Loss: 0.0015 | Acc: 100.0%
Gamma 0.10 | Epoch 19 | Loss: 0.0013 | Acc: 100.0%
Gamma 0.10 | Epoch 20 | Loss: 0.0012 | Acc: 100.0%
Gamma 0.10 | Epoch 21 | Loss: 0.0011 | Acc: 100.0%
Gamma 0.10 | Epoch 22 | Loss: 0.0010 | Acc: 100.0%
Gamma 0.10 | Epoch 23 | Loss: 0.0009 | Acc: 100.0%
Gamma 0.10 | Epoch 24 | Loss: 0.0008 | Acc: 100.0%
Gamma 0.10 | Epoch 25 | Loss: 0.0008 | Acc: 100.0%
Gamma 0.10 | Epoch 26 | Loss: 0.0007 | Acc: 100.0%
Gamma 0.10 | Epoch 27 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.10 | Epoch 28 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.10 | Epoch 29 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.10 | Epoch 30 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.10 | Epoch 31 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.10 | Epoch 32 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.10 | Epoch 33 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.10 | Epoch 34 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.10 | Epoch 35 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.10 | Epoch 36 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.10 | Epoch 37 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.10 | Epoch 38 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.10 | Epoch 39 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.10 | Epoch 40 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.10 | Epoch 41 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.10 | Epoch 42 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 43 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 44 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 45 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 46 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 47 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 48 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 49 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 50 | Loss: 0.0002 | Acc: 100.0%
Gamma 0.10 | Epoch 51 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 52 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 53 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 54 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 55 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 56 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 57 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 58 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 59 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 60 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 61 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 62 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 63 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 64 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 65 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 66 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 67 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 68 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 69 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 70 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 71 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 72 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 73 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 74 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 75 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 76 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 77 | Loss: 0.0000 | Acc: 100.0%
